Gene Symbol	# Mutated Tumor Samples**	Ocogene score* 	Tumor Suppressor Gene score* 	Classification*	Mutation Type	Core pathway	Process	Gene Name
ABL1	851	93%	0%	Oncogene	subtle	Cell Cycle/Apoptosis	Cell Survival	"c-abl oncogene 1, receptor tyrosine kinase"
ACVR1B	17	0%	42%	TSG	subtle	TGF-b 	Cell Survival	"activin A receptor, type IB"
AKT1	155	93%	1%	Oncogene	subtle	PI3K	Cell Survival	v-akt murine thymoma viral oncogene homolog 1
ALK	189	72%	1%	Oncogene	subtle	PI3K; RAS	Cell Survival	anaplastic lymphoma receptor tyrosine kinase
APC	2561	2%	92%	TSG	subtle	APC	Cell Fate	adenomatous polyposis coli
AR	23	54%	0%	Oncogene	subtle	Transcriptional Regulation	Cell Fate	androgen receptor
ARID1A	234	1%	83%	TSG	subtle	Chromatin Modification	Cell Fate	AT rich interactive domain 1A (SWI-like)
ARID1B	17	0%	50%	TSG	subtle	Chromatin Modification	Cell Fate	AT rich interactive domain 1B (SWI1-like)
ARID2	45	0%	56%	TSG	subtle	Chromatin Modification	Cell Fate	"AT rich interactive domain 2 (ARID, RFX-like)"
ASXL1	442	5%	87%	TSG	subtle	Chromatin Modification	Cell Fate	additional sex combs like 1 (Drosophila)
ATM	242	24%	30%	TSG	subtle	DNA Damage Control	Genome Maintenance	"similar to Serine-protein kinase ATM (Ataxia telangiectasia mutated) (A-T, mutated); ataxia telangiectasia mutated"
ATRX	50	4%	47%	TSG	subtle	Chromatin Modification	Cell Fate	"alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)"
AXIN1	117	20%	27%	TSG	subtle	APC	Cell Fate	axin 1
B2M	30	18%	39%	TSG	subtle	PI3K; RAS; MAPK	Cell Survival	beta-2-microglobulin
BAP1	99	8%	70%	TSG	subtle	DNA Damage Control	Genome Maintenance	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)
BCL2	45	27%	1%	Oncogene	subtle	Cell Cycle/Apoptosis	Cell Survival	B-cell CLL/lymphoma 2
